video_id,title,publish_date,view_count,like_count,comment_count,duration
x1u5Fdppvd8,Hadoop Certification - 02 Sqoop Import,2015-12-15T04:38:31Z,24386,180,74,1106.0
U8LwAZZ3pwA,Hadoop Certification - 02 Sqoop Import - Add on,2016-02-07T06:39:24Z,10389,92,35,388.0
7oZ_CctyS5Q,Hadoop Certification - 03 Sqoop Import,2015-12-16T05:35:48Z,21915,231,49,2022.0
HOzju75gNQs,Hadoop Certification - 04 Sqoop Import,2015-12-16T05:52:52Z,15104,165,23,1112.0
ntSK_oJtWlQ,Hadoop Certification - 05 Sqoop Import Incremental,2015-12-17T07:59:41Z,17632,203,61,1169.0
GyA6lhBIe9g,Hadoop Certification - 01 Sqoop Export,2015-12-17T07:59:41Z,13771,163,22,979.0
laMBRY9TJDA,Hadoop Certification - 02 Sqoop Export - Merge/Upsert,2015-12-19T11:20:45Z,15694,178,12,1644.0
S4gt5lO8W70,Hadoop Ceritfication - 01 Sqoop import delimiters,2015-12-21T03:10:31Z,12851,112,5,1833.0
Efzj40KJfh4,Hadoop Certification - 02 Sqoop export delimiters,2015-12-21T04:47:09Z,8690,74,12,844.0
rZP3xkR_0sU,Hadoop Certification - 03 Sqoop File Formats,2015-12-21T05:31:52Z,10224,122,15,1161.0
PXBbFz9Ty8I,Hadoop Certification - Sqoop Job and Sqoop Merge,2015-12-22T06:52:52Z,14541,192,30,1562.0
VgU8T01DNiU,Hadoop Certification - HDPCD - Flume Introduction,2016-04-25T23:39:39Z,2243,7,1,193.0
0TaVbNNmC9w,"Hadoop Certification - HDPCD - Given a Flume configuration file, start a Flume agent",2016-04-26T00:40:45Z,5444,28,7,775.0
dU-mapwDEC0,Hadoop Certification - HDPCD - configure a Flume memory channel with a specified capacity,2016-04-26T01:05:30Z,3682,24,3,1041.0
u0N4Z3NSERI,Apache Pig - HDPCD - Introduction,2016-02-24T08:13:36Z,2173,19,1,184.0
bPqC2nsxwZE,Apache Pig - Write and Execute Pig latin script,2016-02-24T08:19:02Z,16765,128,15,901.0
TzAXlAPdmiY,Apache Pig - Word Count,2016-02-24T08:26:35Z,12071,93,5,1426.0
z43Z85jipy0,Apache Pig - Pig execution life cycle,2016-03-30T03:33:23Z,4870,45,1,649.0
GwN-xISCdaw,Apache Pig - Load data to pig relation without schema,2016-02-24T08:24:09Z,5758,55,3,774.0
qvRXbooSNW8,Apache Pig - Load Data to relation with schema,2016-02-24T08:21:12Z,5057,45,2,388.0
AadEznd9O6w,Apache Pig - Load data from a Hive table into a Pig relation,2016-02-24T08:25:37Z,7588,73,6,750.0
sImHBzA-5bo,Apache Pig - Transform to match Hive Schema,2016-05-02T03:42:50Z,4728,42,3,752.0
YIB0eFM4GE0,Apache Pig - Group the data of one or more Pig relations - 01 To get count of all rows,2016-02-26T11:30:30Z,5687,33,4,1067.0
NR2ud6c-0h8,Apache Pig - Group the data for one or more pig relations - 02 Group by key,2016-03-03T08:06:08Z,3729,26,4,632.0
3j4L_jAz7NI,Apache Pig - Use Pig to remove records with null values from a relation,2016-02-24T08:28:29Z,6054,16,12,1462.0
2wiDeBxNP9E,"Apache Pig - Store the data from a Pig relation into a folder in HDFS (Text, Binary and JSON)",2016-02-26T08:35:50Z,5326,34,4,1032.0
f26jRF7I8jk,Apache Pig - Store the data from a Pig relation into a Hive table,2016-02-26T09:56:37Z,5593,50,11,1146.0
oN16RDLfLEQ,Apache Pig - Sort the output of a Pig relation,2016-02-26T11:28:35Z,2846,25,1,672.0
_oAzkiu66ck,Apache Pig - Remove the duplicate tuples of a Pig relation (using distinct),2016-03-03T08:08:11Z,3282,31,2,792.0
dyD-yEt-1G4,Apache Pig - Specify the number of reduce tasks for a Pig MapReduce job,2016-03-30T01:05:41Z,2908,29,1,850.0
qLiwo_S6_2c,"Joins - Inner join, outer join - Theory",2016-03-14T00:32:15Z,3175,14,4,1528.0
kbFWY_vAZoY,Apache Pig - Join two datasets using Pig - 01 Introduction,2016-03-03T08:08:11Z,2753,12,1,170.0
q9cncMV6nqQ,Apache Pig - Join two datasets using Pig - 02 Inner Join,2016-03-03T08:40:23Z,4598,34,3,1725.0
cHa2ILcNWf0,Apache Pig - Join two datasets using Pig - 03 Outer Joins,2016-03-14T02:07:24Z,2962,25,2,1223.0
M357GnamVJM,Apache Pig - Perform a replicated join using Pig,2016-03-30T03:49:11Z,2996,22,2,1067.0
RG-wGOc-hmg,Apache Pig - Run a Pig job using Tez,2016-04-08T08:39:26Z,1747,19,1,510.0
98l4-3WJWvY,"Apache Pig - User Defined Functions - Registering jars, defining alias and invoking UDFs",2016-04-08T08:39:26Z,6801,59,6,823.0
Lgnu1_aD_7o,Apache Hive - HDPCD - Data Analysis - Introduction,2016-03-14T04:02:12Z,1535,11,1,224.0
tiIP-p1iA60,Data Warehouse using Hadoop eco system - 04 Hive Architecture,2015-01-28T23:02:46Z,32449,161,20,1785.0
UY9cYG7ghGs,Apache Hive - 01 Write and Execute a Hive Query,2016-03-14T04:04:25Z,38714,216,8,670.0
eSuYyk4D0mc,Apache Hive - 02 Write and Execute a Hive Query,2016-03-14T04:12:21Z,15597,120,5,1784.0
DcF1oWQLL4A,Apache Hive - Create Hive Managed Table,2016-03-22T03:53:19Z,11428,102,7,1554.0
0uUiYfsSbZk,Apache Hive - Create Hive External Table,2016-04-05T01:35:09Z,15583,101,5,1240.0
JzpSd9UcLug,Apache Hive - Create retail_db tables in hive,2016-04-05T01:35:09Z,7287,45,5,667.0
5Hrhr1H4IQ0,Apache Hive - Create Hive Partitioned Table,2016-04-05T01:40:35Z,33989,225,19,1606.0
010HXgJ0hJs,Apache Hive - Create Hive Bucketed Table,2016-04-06T01:11:50Z,15948,146,12,690.0
Ogd-TY9e17c,Apache Hive - CTAS and ORC file formats,2016-04-06T01:11:50Z,10660,83,3,612.0
u3EufA-DhG4,Apache Hive - Specifying file format and delimiters,2016-04-06T01:11:50Z,10645,70,1,872.0
5yUl9Ycuuu8,Apache Hive - Load data from local file system and HDFS to Hive table,2016-04-06T01:47:24Z,39032,237,11,867.0
0BxZLPOt0CQ,Apache Hive - Load data from hive select query (using insert) and compressed data,2016-04-06T08:09:49Z,7551,53,3,1215.0
Ods-zDnTWxs,"Apache Hive - Transactions in Hive (Insert, update and delete)",2016-04-07T03:46:57Z,28737,302,25,1166.0
y7Z79b2sGQ8,"Apache Hive - Hive joins, execution engines (tez and mr) and explain/execution plan",2016-04-06T08:09:49Z,15934,109,7,832.0
kpDe2UOVb7k,Apache Hive - Hive Sub Queries and Total Ordering (ORDER BY),2016-04-08T07:43:05Z,9402,77,7,631.0
hwm0CxUIH50,HDPCD - Practice Exam - Getting started,2016-04-08T08:39:26Z,2550,20,7,714.0
Y2Jqry9z030,HDPCD - Practice Exam - Task 01 - Import a File into HDFS,2016-04-08T08:39:26Z,4836,39,11,423.0
HseImRuXbcE,HDPCD - Practice Exam - Task 02 - Cleanse Data using Pig,2016-04-08T08:39:26Z,6241,71,6,964.0
Wp4eQTc31HE,HDPCD - Practice Exam - Task 03 - Analyze Data using Pig,2016-04-08T08:39:45Z,4269,37,5,1240.0
6-ObeMqe7c8,HDPCD - Practice Exam - Task 04 - Define A Hive Table,2016-04-08T08:44:23Z,2891,16,5,642.0
DmKg5l0vcZ8,HDPCD - Practice Exam - Task 05 - Use HCatalog With Pig,2016-04-08T09:07:13Z,4009,27,12,761.0
_Wkf1fRWCDA,HDPCD - Practice Exam - Task 06 - Analyzing Data With Hive,2016-04-09T04:33:04Z,2971,13,3,1011.0
MweqsxsI2Xc,HDPCD - Practice Exam - Task 07 - Define And Populate An ORCFile Table,2016-04-09T04:33:05Z,2771,24,1,513.0
ccSBg2MKIdY,HDPCD - Practice Exam - Task 08 - Hive Join,2016-04-09T04:33:05Z,2820,24,2,635.0
xPIQTgQfzGY,HDPCD - Practice Exam - Task 09 - Hive Partitioned Tables,2016-04-09T22:47:05Z,2690,20,2,543.0
Al7u-xMai5I,HDPCD - Practice Exam - Task 10 - Sqoop Export,2016-04-09T22:47:05Z,2903,28,2,826.0
jaE-wUwb5ZE,HDPCD - Conclusion and Best of luck,2016-04-09T22:47:05Z,1093,11,12,239.0
T8uiqfeqoaM,Amazon DynamoDB - Introduction and Overview,2015-10-12T14:30:23Z,13072,59,4,789.0
_FgtE4VMWzw,Amazon DynamoDB - Setup and primitive operations using AWS web console,2015-10-12T14:18:07Z,6361,21,2,982.0
Lo4dHCBr5rc,Amazon DynamoDB - Setup and primitive operations using AWS CLI,2015-10-12T14:28:32Z,7281,45,2,1447.0
txWzO5zQofw,Amazon DynamoDB - Setup locally on Virtual Machine,2015-10-13T00:33:31Z,5362,14,3,1406.0
XfLRE-_JchM,Amazon DynamoDB - Eclipse AWS Plugin and sample dynamodb application,2015-10-13T00:49:26Z,6730,22,4,855.0
tHMFMJlUlcw,Amazon DynamoDB - Primitive Operations - CRUD,2015-10-17T03:26:40Z,3618,12,4,2066.0
gv3OFlhrCIA,Amazon DynamoDB - Data Model,2015-10-17T03:27:05Z,2928,12,2,1037.0
AxIlOu9iy2s,Amazon DynamoDB - Pricing and Recap,2015-10-17T03:38:20Z,3657,16,1,626.0
a4oW8QUG7Rc,HBase for Java Developers - Introduction,2015-10-04T16:47:12Z,11645,37,6,397.0
N119rfe-JGo,Setup HBase (Introduction and Architecture),2015-08-31T15:27:12Z,8171,81,1,1286.0
qU7ueaGcTw0,HBase for Java Developers - Setup HBase - Plain Vanilla Hadoop,2015-10-05T05:32:23Z,4638,25,10,1126.0
BsvLoPE0XOk,HDP - Setup HBase - Configure using Ambari,2015-08-31T16:22:03Z,7095,50,1,1065.0
MBfNrlg_tiM,HBase post setup demo,2015-09-01T03:28:40Z,3670,28,2,954.0
aiJrgpFXXI4,HBase for Java Developers - Setup eclipse ide with Maven plugin,2015-10-05T11:12:11Z,12849,94,10,1594.0
a4YQEvIOCKI,HBase for Java Developers - CRUD operations using HBase client API,2015-10-05T11:07:58Z,12554,64,4,1297.0
cwhos44nHEI,HBase for Java Developers - Data Modeling and Java program to load NYSE data,2015-10-05T23:41:17Z,5072,30,2,1852.0
HDW7k4jO7RY,HBase for Java Developers - Recap,2015-10-05T23:45:27Z,1054,8,2,599.0
B6BAVyy6HNI,Apache Spark - Downloading and running on window 8,2015-09-23T09:17:42Z,42166,63,25,430.0
Xouu7ERSxD4,Apache Spark - Introduction,2015-09-28T03:40:37Z,8760,17,3,921.0
1GixYso8Az4,Apache Spark - Streaming using Twitter,2015-09-28T03:42:10Z,35769,152,59,1167.0
s48LP97AdKE,Apache Spark - Loading data from relational databases,2015-09-29T05:02:34Z,26085,79,18,579.0
fXPQdu1OICI,Apache Spark SQL - running a sample program,2015-10-05T05:35:54Z,34239,72,7,715.0
kfUss2n2I_s,Apache Spark SQL - loading and saving data using the JSON & CSV format,2015-10-05T05:36:37Z,30178,66,27,873.0
28EEOEHgVG4,Apache Spark - Installation on Hortonworks cluster,2015-10-21T18:19:54Z,6814,26,2,639.0
pI__X-irHkc,Apache Spark - Streaming with Kafka Installing Kafka on Windows 8,2015-10-21T19:07:45Z,5232,7,7,927.0
iaw5kG9q6xw,Apache Spark - MapReduce example and difference between hadoop and spark engine,2015-10-24T10:39:20Z,11610,31,10,878.0
5E6zK334vsM,Apache Spark Streaming with Kafka running mapreduce,2015-10-29T18:24:01Z,3853,14,5,585.0
JtsUL5n1gTQ,Hadoop Day to Day Operations - Introduction,2015-09-01T05:19:28Z,17080,185,8,328.0
uoOGoJzMSCQ,Hadoop Day to Day Operations - Managing space between application users,2015-09-01T05:32:18Z,11345,145,11,1023.0
OkIElNjBKKU,Hadoop Day to Day Operations - Distcp - Data back ups and migration,2015-09-01T09:44:47Z,18615,171,22,864.0
uf4FYOLIIsw,Hadoop Day to Day Operations - Managing Services - Introduction,2015-09-01T15:31:57Z,4125,38,4,287.0
Wz2eBKKhL8w,Hadoop Day to Day Operations - Managing Services - Add Service using Ambari,2015-09-01T15:55:19Z,5466,54,4,901.0
Yn70jm7M6X8,Hadoop Day To Day Operations - Changing cluster capacity - Add nodes using Ambari,2015-09-03T05:10:31Z,4467,25,2,1800.0
Atlo4ZR16DQ,Hadoop Day To Day Operations - Changing cluster capacity - Introduction,2015-09-03T04:56:31Z,3394,37,2,606.0
v3LiS2tJXE4,"Hadoop Day To Day Operations - Manage Ambari - Groups, users and permissions",2015-09-03T14:10:31Z,6498,68,4,689.0
oEmrSHIoxkw,Hadoop Day To Day Operations - Manage Ambari - Files view to provide access to HDFS via Ambari,2015-09-03T14:37:40Z,5880,55,12,1019.0
P0dD2GcAqRw,Hadoop Day To Day Operations - Monitoring using Ambari - Alerts and Notifications,2015-09-04T04:19:22Z,10725,88,3,1234.0
bZN4dklTBGQ,Hadoop Day To Day Operations - Supporting other users of cluster,2015-09-04T04:23:19Z,2316,25,2,907.0
nZnPCNBAOPI,VMWare - 06 install ntp service on CentOS VM,2015-08-21T23:09:28Z,2635,22,3,268.0
QkKvvxsiNzI,Linux Administration - Setup Apache Web Server or HTTPD,2015-08-12T07:32:45Z,1323,5,1,964.0
vh_T9vafsG8,Linux Administration - centos yum,2015-08-14T02:13:18Z,275,2,1,628.0
J_lQxyQX3cY,Linux Administration - centos yum repository server,2015-08-14T02:30:28Z,668,4,2,1561.0
sl17yNXfwjI,Setup Parallel SSH,2015-08-19T06:16:48Z,8996,55,13,801.0
1l4TayY8sG8,VMWare - 01 Installing VMWare Workstation on Windows,2015-08-09T02:55:18Z,4716,22,3,624.0
NRKyR55L8ZQ,VMWare - 02 Setup Template,2015-08-09T02:55:18Z,4245,9,1,504.0
bVd6-c_afhg,VMWare - 03 Install CentOS,2015-08-09T02:55:18Z,4664,9,6,569.0
60IkPok-s_o,VMWare 04 Configure Network,2015-08-09T02:55:18Z,6448,43,22,737.0
FsLU_uDq7ws,VMWare - 05 Update hosts file with aliases,2015-08-09T11:05:22Z,4187,23,2,429.0
1xiQOLAEcdg,VMWare - 05 06 establish internet connectivity and install softwares on CentOS,2015-08-09T15:05:08Z,3987,18,12,717.0
2zvI2-9Y3Jg,VMWare - 06 install nano editor on CentOS VM,2015-08-10T13:36:34Z,4151,16,1,219.0
nZnPCNBAOPI,VMWare - 06 install ntp service on CentOS VM,2015-08-21T23:09:28Z,2635,22,3,268.0
xQmX6oKerUM,VMWare - 07 setup pre requisites,2015-08-09T22:51:21Z,2810,13,2,741.0
BhR1EtCd11k,VMWare - 07 setup pre requisites  naming vm,2015-08-12T01:23:37Z,2164,15,2,377.0
M7btnG62lVw,VMWare - 08 setup password less login,2015-08-10T01:08:55Z,4093,29,1,959.0
CLjNWNm4TEA,VMWare - 09 Install VMWare tools,2015-08-10T13:55:34Z,2071,18,5,516.0
tP4nu7gdWLM,VMWare - 10 Cloning VM,2015-08-12T01:53:38Z,3838,12,2,1122.0
tpq2UPVXM5A,Plain Vanilla Hadoop - Introduction,2015-09-24T03:50:24Z,3676,12,4,360.0
1l4TayY8sG8,VMWare - 01 Installing VMWare Workstation on Windows,2015-08-09T02:55:18Z,4716,22,3,624.0
NRKyR55L8ZQ,VMWare - 02 Setup Template,2015-08-09T02:55:18Z,4245,9,1,504.0
bVd6-c_afhg,VMWare - 03 Install CentOS,2015-08-09T02:55:18Z,4664,9,6,569.0
60IkPok-s_o,VMWare 04 Configure Network,2015-08-09T02:55:18Z,6448,43,22,737.0
FsLU_uDq7ws,VMWare - 05 Update hosts file with aliases,2015-08-09T11:05:22Z,4187,23,2,429.0
1xiQOLAEcdg,VMWare - 05 06 establish internet connectivity and install softwares on CentOS,2015-08-09T15:05:08Z,3987,18,12,717.0
2zvI2-9Y3Jg,VMWare - 06 install nano editor on CentOS VM,2015-08-10T13:36:34Z,4151,16,1,219.0
xQmX6oKerUM,VMWare - 07 setup pre requisites,2015-08-09T22:51:21Z,2810,13,2,741.0
BhR1EtCd11k,VMWare - 07 setup pre requisites  naming vm,2015-08-12T01:23:37Z,2164,15,2,377.0
M7btnG62lVw,VMWare - 08 setup password less login,2015-08-10T01:08:55Z,4093,29,1,959.0
CLjNWNm4TEA,VMWare - 09 Install VMWare tools,2015-08-10T13:55:34Z,2071,18,5,516.0
tP4nu7gdWLM,VMWare - 10 Cloning VM,2015-08-12T01:53:38Z,3838,12,2,1122.0
9L3ris1_nzE,Plain Vanilla Hadoop - Create Virtual Machine from Template and setup pre-requisites,2015-09-21T04:21:17Z,557,3,1,627.0
WHY006Je4_E,Plain Vanilla - Download and install hadoop binaries,2015-09-21T04:21:17Z,935,11,2,1078.0
2a2to6lBN14,Plain Vanilla - Compile Native libraries from Hadoop source code using Maven,2015-09-21T04:25:13Z,2430,25,16,1840.0
7XMKDxL3HII,"Plain Vanilla - Setup HDFS - Namenode, Secondary Namenode and Datanode",2015-09-21T04:40:31Z,1984,11,1,1740.0
tiQH1mNfE2A,HDFS - Files and blocks,2015-08-26T10:58:29Z,4161,46,2,1126.0
sP6vH5XbHQs,HDFS - Recovery using Namenode and Secondary Namenode,2015-08-26T10:58:30Z,3535,37,4,769.0
3jRF1JccqCE,Plain Vanilla Hadoop - Setup YARN and MR2,2015-09-24T04:21:11Z,484,4,4,1346.0
JgYh5SuV37M,Plain Vanilla Hadoop - Setup Job History Server,2015-09-24T03:50:24Z,1518,8,2,899.0
9KJhzx8gRqw,Plain Vanilla Hadoop - Running Map Reduce Program,2015-09-24T03:51:43Z,262,3,1,518.0
N119rfe-JGo,Setup HBase (Introduction and Architecture),2015-08-31T15:27:12Z,8171,81,1,1286.0
qU7ueaGcTw0,HBase for Java Developers - Setup HBase - Plain Vanilla Hadoop,2015-10-05T05:32:23Z,4638,25,10,1126.0
MBfNrlg_tiM,HBase post setup demo,2015-09-01T03:28:40Z,3670,28,2,954.0
Qa1trXI9gN4,Plain Vanilla Hadoop - Install mysql and setup retail_db database,2016-01-22T01:19:43Z,528,5,2,888.0
03-PdTSV5NQ,Plain Vanilla Hadoop - Migrate from /root to /software,2016-01-25T03:39:01Z,148,2,3,1118.0
9gAL1LKva2U,Plain Vanilla Hadoop - Setup Hive,2016-01-25T08:53:23Z,414,3,4,1189.0
1Gy2fmv7_-k,Plain Vanilla Hadoop - Setup Sqoop,2016-01-26T05:16:41Z,249,4,1,1505.0
dbJTKgCFb2w,Plain Vanilla Hadoop - Setup Spark,2016-01-25T03:45:28Z,388,4,2,694.0
7jQ-PaqLxJw,Introduction redirecting to new course - CCA 175 Spark and Hadoop Developer,2018-01-31T04:03:40Z,23849,65,5,153.0
tcN4ciZ5HqQ,Introduction to ITVersity Forums - see description for links,2018-06-11T16:41:18Z,14108,28,1,274.0
IRSpBce_T5Y,Cloudera Certified Associate Spark and Hadoop Developer,2016-08-08T16:12:36Z,71607,184,73,2201.0
62n0r3yetvc,Hadoop Certification - CCA - Introduction,2015-12-14T03:23:44Z,41748,267,40,562.0
uMjhWYBmiRE,Big Data Environment - Sign up for big data labs,2017-01-19T03:56:50Z,12059,19,8,492.0
g5YAPGDKGvU,Big Data - Lab support for signup or login issues,2017-01-19T05:09:57Z,7402,9,0,530.0
FZCEoivudRs,Hadoop Certification - CCA - Using Cloudera Quickstart VM,2015-12-14T05:09:04Z,53266,478,89,1200.0
l38DQ0hrIRI,Hadoop Certification - CCA - Using Cloudera Quickstart VM (Add on),2015-12-31T05:13:47Z,14131,122,33,987.0
608bsGpMkJ4,Cloudera Quickstart 5.5 Preview,2016-01-28T01:04:48Z,21057,141,21,1290.0
bIeys5Z-8AE,Cloudera Quickstart 5.5 preview - CCA certification,2016-01-27T03:02:15Z,11685,102,17,1241.0
hY9nnU4PTFw,Hadoop Certification - Sqoop commands - list and eval,2015-12-14T23:46:54Z,43653,404,67,1243.0
C7YEYvlFncU,Hadoop Certification - 01 Sqoop Import,2015-12-15T00:30:41Z,41086,356,53,1618.0
x1u5Fdppvd8,Hadoop Certification - 02 Sqoop Import,2015-12-15T04:38:31Z,24386,180,74,1106.0
U8LwAZZ3pwA,Hadoop Certification - 02 Sqoop Import - Add on,2016-02-07T06:39:24Z,10389,92,35,388.0
7oZ_CctyS5Q,Hadoop Certification - 03 Sqoop Import,2015-12-16T05:35:48Z,21915,231,49,2022.0
